Area;MajorAxisLength;MinorAxisLength;ConvexArea;EquivDiameter;Class
81172;404,016421;256,2952612;82356;321,483126;BARBUNYA
166757;588,4357894;364,0076394;169717;460,7836876;BOMBAY
36036;236,1718703;194,5500554;36286;214,2019146;SEKER
63550;347,8183919;233,0616804;64683;284,4545185;BARBUNYA
43877;290,1891389;193,0789828;44239;236,3597502;SIRA
95824;451,4416501;272,1346295;98004;349,2948699;BARBUNYA
35408;241,922654;186,6907132;35765;212,3272611;SEKER
76834;431,373776;229,5667317;78131;312,7748186;CALI
42072;328,7112066;165,7553597;42898;231,4470439;HOROZ
33620;222,7760833;192,2260318;34012;206,8968668;SEKER
36278;246,5483426;187,7492127;36580;214,9199484;SEKER
69123;356,3549969;248,6214023;70470;296,665025;BARBUNYA
55596;314,7614494;225,636432;56806;266,0583126;BARBUNYA
60254;389,9516727;198,5205475;61057;276,9797385;HOROZ
43520;271,0670038;204,7514643;43900;235,3962298;SEKER
29707;239,7110781;158,510592;30132;194,4842594;DERMASON
25407;224,1410865;144,5076382;25650;179,8588255;DERMASON
51052;311,0051784;209,5399055;51644;254,9537708;SIRA
26638;219,8769404;154,6849224;26935;184,1644781;DERMASON
60981;395,8998237;200,8502472;62440;278,6456902;HOROZ
32348;249,9064031;164,9818829;32635;202,9451965;DERMASON
70145;390,7835906;230,0279791;71034;298,8501094;CALI
51322;362,3812629;181,4415766;52010;255,627072;HOROZ
40819;277,7432344;187,6410196;41162;227,9744832;SIRA
69272;395,7520065;224,1743966;69978;296,9845951;CALI
47610;320,1035233;191,3630171;48271;246,209128;SIRA
47211;275,6104513;218,7119252;47904;245,1752682;SEKER
46216;299,2951436;198,8716455;46840;242,5779025;SIRA
39506;243,1820843;206,996576;39972;224,2779558;SEKER
59423;361,9590866;210,8999607;60550;275,0631082;CALI
30940;259,8625326;151,8998633;31403;198,4792974;DERMASON
39064;247,8489448;200,9042475;39399;223,0197964;SEKER
27418;245,2256286;142,7880934;27710;186,841328;DERMASON
29994;232,9904508;164,0754509;30305;195,4214597;DERMASON
40593;270,298126;191,6207527;40976;227,3425012;SIRA
61083;398,6108324;198,384006;61675;278,8786315;HOROZ
35284;250,4410685;179,7593409;35717;211,9551464;DERMASON
72249;390,621169;236,5468327;73146;303,2990008;CALI
42864;290,3830475;188,5424363;43376;233,6153673;SIRA
33169;242,4340849;174,6522181;33629;205,5044585;DERMASON
82624;418,8289347;251,6113121;84071;324,345717;BARBUNYA
69112;396,1407983;223,2682399;70526;296,6414189;BARBUNYA
62764;409,2070817;198,3301993;64158;282,6899482;HOROZ
75661;408,0759212;237,125046;77347;310,3781197;BARBUNYA
36361;234,7907394;197,4200707;36669;215,1656643;SEKER
32626;252,4336296;164,8412484;32958;203,8153905;DERMASON
71456;374,7846255;244,4125876;72262;301,6299138;BARBUNYA
81102;414,497513;254,0810271;83068;321,344478;CALI
35354;237,2896852;189,8898462;35666;212,1652914;SEKER
36136;261,8104952;176,0212238;36507;214,4989142;DERMASON
32915;263,1933205;160,1062358;33250;204,7160952;DERMASON
31010;279,08787;141,9808008;31532;198,7036947;DERMASON
46602;306,2855741;194,3222826;47100;243,5888119;SIRA
36179;268,9020011;172,4560837;36533;214,6264976;SIRA
28090;229,0966014;156,557486;28402;189,1171563;DERMASON
51480;357,9271538;188,4856465;53556;256,0202565;HOROZ
35176;267,5652851;167,5810136;35546;211,6305135;DERMASON
37329;264,4401459;180,6574393;37727;218,0109148;DERMASON
35815;269,7371754;169,9114488;36226;213,5440804;SIRA
42040;278,4441063;193,2416194;42520;231,3590077;SIRA
46180;344,0814557;172,3668752;46881;242,483406;HOROZ
22748;204,2664271;142,1328542;23002;170,1871122;DERMASON
65911;380,1439519;221,1101103;66678;289,6903375;BARBUNYA
38945;269,092946;185,0519588;39451;222,6798466;DERMASON
44940;295,9991921;193,8465814;45467;239,2057381;SIRA
60353;344,2840281;224,5974163;61174;277,2071901;BARBUNYA
40505;274,8720316;189,4990709;40997;227,095944;SIRA
47496;276,264608;219,2654235;47965;245,914183;SEKER
71383;384,4605801;239,0358608;72502;301,4758007;CALI
68269;344,2534021;254,0770123;69922;294,8267126;BARBUNYA
48650;372,9335252;167,2397494;49301;248,8837155;HOROZ
59030;389,9037253;193,9118341;59864;274,1520205;HOROZ
72839;384,6550098;243,2440353;74031;304,5348834;CALI
59167;361,6777858;210,6934538;60797;274,4699695;BARBUNYA
60756;352,9421998;219,8903051;61871;278,1311593;BARBUNYA
73688;415,6538966;228,3115046;75227;306,3045471;CALI
31367;237,5303128;168,7997819;31752;199,8442013;DERMASON
31720;247,9994942;163,2366092;32056;200,9655651;DERMASON
39757;247,9948932;204,4680936;40101;224,9892988;SEKER
46774;310,604325;192,3909482;47444;244,0379201;SIRA
48373;315,6970466;196,0446235;48885;248,1741657;SIRA
27050;220,9804369;156,4302188;27365;185,583215;DERMASON
74967;414,6293764;232,1867915;75687;308,9513699;CALI
28838;233,2966014;158,1039237;29225;191,6185847;DERMASON
34737;250,8274315;176,6908744;35289;210,3057823;DERMASON
31107;214,6485485;184,9692526;31423;199,0142269;SEKER
63206;416,5802059;194,2902383;64172;283,683589;HOROZ
82596;436,6842287;241,4348694;84186;324,2907545;BARBUNYA
31056;235,3317725;168,2782575;31392;198,8510179;DERMASON
31659;244,3398213;165,2940124;31959;200,772236;DERMASON
29274;225,4950511;165,4245989;29595;193,0616856;DERMASON
25690;221,9827962;148,0800401;26058;180,8577449;DERMASON
70966;386,4901941;237,0890354;72555;300,5939413;CALI
62444;408,4175499;198,2154803;63676;281,968385;HOROZ
42506;259,4181962;209,1264365;42916;232,6377443;SEKER
44546;293,8289361;193,8645897;45117;238,154842;SIRA
27549;226,5226259;156,1855462;28159;187,2871491;DERMASON
39764;252,7578302;200,5577303;40089;225,0091048;SEKER
64595;374,3757955;220,2918279;65684;286,783731;BARBUNYA
58635;411,3971919;182,1664326;59215;273,233235;HOROZ
39215;244,5157546;204,7266034;39488;223,4504168;SEKER
175054;607,6671569;370,082794;177343;472,1076946;BOMBAY
30341;250,7582428;154,525294;30810;196,5486226;DERMASON
36955;241,9002397;194,678805;37410;216,9160376;SEKER
89989;446,8784794;258,8263367;91153;338,4930625;CALI
39543;279,3037986;181,2005717;40104;224,3829568;SIRA
58200;401,6261513;185,3796552;58900;272,21782;HOROZ
21766;188,9191604;147,0480736;22078;166,4732169;DERMASON
64351;405,261815;202,8699194;65364;286,2415727;HOROZ
53550;334,7523066;205,1044147;54256;261,1167892;SIRA
35189;260,2085531;172,5705835;35538;211,669616;DERMASON
34865;254,5997868;175,2823153;35227;210,6928967;DERMASON
39346;280,1178831;179,1312126;39763;223,8233302;DERMASON
31790;246,8040912;164,5567495;32139;201,1871893;DERMASON
71678;422,650982;218,7140631;73261;302,0981034;CALI
28942;228,4449167;161,6017172;29328;191,9637958;DERMASON
50058;370,2690893;173,2543516;50675;252,4595515;HOROZ
38552;234,9970849;209,0326346;38959;221,5534494;SEKER
42438;287,5245902;188,8720731;42893;232,4515859;SIRA
30900;256,91668;153,6367611;31444;198,3509565;DERMASON
45195;270,5319702;213,1831864;45511;239,8834326;SEKER
36421;238,7034584;194,4487207;36776;215,3431157;SEKER
32749;255,6686374;163,3931339;33101;204,199221;DERMASON
34761;229,7370214;192,8875726;35171;210,3784205;SEKER
39509;261,8813448;192,28283;40027;224,2864712;SEKER
40591;252,6683515;204,9644805;40944;227,3369006;SEKER
38642;236,4650119;208,2948544;39103;221,8119079;SEKER
52266;374,4981637;178,0553307;52856;257,9673197;HOROZ
33226;255,1960511;165,9358357;33569;205,6809595;DERMASON
31918;241,8120563;168,5512179;32297;201,5918148;DERMASON
36154;234,9680946;196,1359724;36386;214,5523304;SEKER
48377;356,9319216;173,2697207;48946;248,1844263;HOROZ
50248;326,8805566;196,7698886;50903;252,9382151;SIRA
26322;222,06245;151,3356152;26670;183,0688704;DERMASON
33498;227,9380769;187,3160543;33745;206,5211327;SEKER
33421;219,5440823;194,0253903;33691;206,2836368;SEKER
28412;227,3089876;159,4720664;28735;190,1980072;DERMASON
40619;276,4574257;187,3624136;41042;227,4152965;SIRA
67349;385,164328;224,0565087;68119;292,833417;CALI
45369;338,9924603;171,6009778;45987;240,3447626;HOROZ
48959;358,5253123;174,5640116;49648;249,6728557;HOROZ
84331;434,3328911;249,7984705;85972;327,6790565;CALI
68500;339,4168594;257,4166226;69506;295,3250901;BARBUNYA
61704;395,6012989;199,799678;62388;280,2926558;HOROZ
44966;316,0820164;181,7623292;45511;239,2749242;SIRA
33190;253,6091891;167,1339121;33613;205,5695028;DERMASON
42302;263,1169071;205,0787113;42695;232,0788211;SEKER
91615;468,0945091;251,8671486;93439;341,5374663;CALI
22416;213,2098015;133,9332071;22648;168,9406335;DERMASON
56155;344,514406;208,1900925;57050;267,3925329;BARBUNYA
32094;251,6524786;162,7261894;32408;202,1468524;DERMASON
63336;386,0225949;212,8307846;64839;283,9751746;HOROZ
30429;240,0205021;161,796239;30790;196,8334476;DERMASON
59255;329,2752345;229,5490083;60140;274,6740054;BARBUNYA
29154;233,5074911;159,3296519;29499;192,6655799;DERMASON
162374;580,9771111;357,4782703;164508;454,6878026;BOMBAY
73528;420,3236302;223,0756762;74286;305,9718243;CALI
57017;349,8119042;210,8011319;58127;269,437004;CALI
80035;385,280099;265,5568751;81623;319,2236316;BARBUNYA
38496;268,6302011;182,6817648;38871;221,3924784;SIRA
37790;258,7222594;186,6646893;38210;219,352963;DERMASON
44744;307,179977;186,3511364;45273;238,6835356;SIRA
42588;280,882102;193,9428884;43076;232,8620315;SIRA
49364;320,5315365;196,5773827;49945;250,7034042;SIRA
49403;332,3036881;191,1307721;50080;250,8024187;SIRA
69886;386,1316045;231,5513156;71333;298,2978693;BARBUNYA
58566;397,3698488;188,4372785;59305;273,0724211;HOROZ
37123;278,7859993;170,6059162;37539;217,4085362;DERMASON
30834;217,2278128;180,8974686;31120;198,1390121;SEKER
48007;284,681009;214,8948298;48696;247,2335148;SEKER
45475;270,4200681;214,4588917;45854;240,6253692;SEKER
46137;272,4072947;215,9622903;46611;242,3704868;SEKER
35350;254,677713;177,2426478;35773;212,1532887;DERMASON
59041;359,7792308;211,3235495;60026;274,1775628;CALI
44535;305,9278053;187,2165257;45089;238,1254357;SIRA
31612;239,9569618;168,2363971;32011;200,6231504;DERMASON
24209;220,0976231;140,7041451;24517;175,5672411;DERMASON
51290;316,1689438;207,5508659;51815;255,547366;SIRA
53413;341,5233905;200,1405041;54213;260,7825604;SIRA
74674;426,5475773;224,097539;75550;308,3470281;CALI
20464;191,249312;136,3684624;20772;161,4173908;DERMASON
27528;240,1646543;146,1837772;27819;187,215753;DERMASON
25748;215,4115956;152,6381424;26065;181,06179;DERMASON
46277;303,7687476;194,330369;46720;242,7379377;SIRA
32854;253,8612566;165,0859589;33223;204,5263113;DERMASON
71694;384,7961566;238,5989724;73042;302,1318188;BARBUNYA
65987;362,3717091;232,4004593;67136;289,857306;BARBUNYA
28352;224,6858424;161,7925612;28659;189,9970725;DERMASON
85914;423,4889446;258,8493991;86826;330,7402338;BARBUNYA
34397;248,865816;176,3313768;34709;209,2740324;DERMASON
36062;256,3042215;179,4820254;36459;214,2791741;DERMASON
73451;421,2082024;222,8362332;74535;305,8115724;HOROZ
41477;286,3057308;184,8289192;41886;229,8046053;SIRA
83773;447,3225626;242,4610804;86024;326,5931665;CALI
79196;414,8326172;243,9150099;79962;317,5460266;CALI
45010;301,8021811;191,1676981;45468;239,3919629;SIRA
63064;364,0969279;222,1178334;64230;283,3647449;CALI
37876;255,1052519;189,4550716;38246;219,6024157;DERMASON
36032;260,0159416;177,2605115;36551;214,1900261;DERMASON
44568;296,2760188;191,9347493;44910;238,2136437;SIRA
44693;296,4135837;192,9371202;45329;238,547469;SIRA
57433;340,4333752;217,3321384;58982;270,4181332;BARBUNYA
27477;220,5920696;158,8074565;27755;187,0422492;DERMASON
79018;424,8237749;238,3888789;80014;317,1889695;CALI
35683;237,1640772;192,1409058;36188;213,1501975;SEKER
161473;605,285003;343,0184745;163971;453,4245351;BOMBAY
81020;381,5514575;271,3382108;82059;321,1819857;BARBUNYA
36701;234,4158739;200,836907;37415;216,169296;SEKER
34003;261,6872275;166,0757913;34364;208,072017;DERMASON
76273;431,6246141;226,6893361;77276;311,6308711;CALI
50182;325,1109276;196,8934945;50642;252,7720452;SIRA
44838;292,0132583;196,4204943;45298;238,9341221;SIRA
33954;277,3684803;156,3563259;34420;207,9220419;HOROZ
44336;297,8508897;190,4237142;44823;237,5928207;SIRA
37500;275,840463;173,8182658;37944;218,5096861;DERMASON
41528;254,6742271;207,8648703;41852;229,9458454;SEKER
179496;594,6168788;386,020211;181511;478,0600436;BOMBAY
49916;316,1569277;201,617206;50430;252,10122;SIRA
38285;247,6137766;197,3269149;38609;220,7849088;SEKER
51349;323,4435007;203,3939461;52073;255,6943046;SIRA
62741;392,3921451;204,6350274;63537;282,6381472;HOROZ
43028;303,9208395;181,3180291;43770;234,0618532;SIRA
31966;252,4695963;161,8064705;32644;201,7433401;DERMASON
38709;278,3041772;177,9968145;39155;222,0041205;SIRA
68671;399,31993;222,3409906;70214;295,6934777;CALI
44199;301,6205366;187,0068095;44564;237,2254511;SIRA
42202;255,0776194;211,3144851;42655;231,804347;SEKER
38213;267,5025123;182,466177;38610;220,5772035;DERMASON
54315;357,836505;197,8276523;55554;262,9752952;HOROZ
44280;288,0018239;196,3956522;44769;237,4427237;SIRA
69819;383,379959;234,0775761;71154;298,1548453;CALI
44598;263,6465646;216,4566255;45129;238,2938044;SEKER
29389;237,7820281;158,1594914;29726;193,4405257;DERMASON
89559;446,6269238;258,2008138;91501;337,683373;CALI
44417;277,7135197;203,8245272;44833;237,8097577;SEKER
46243;299,5363521;197,3083247;46768;242,6487508;SIRA
63213;422,5301739;191,1556345;63758;283,6992974;HOROZ
24389;222,9000809;140,0152488;25462;176,2187256;DERMASON
39964;261,7453629;195,9004504;40451;225,5742564;SIRA
66931;341,6177344;250,189667;68309;291,9232707;BARBUNYA
186401;672,2481021;359,7590937;191438;487,1684764;BOMBAY
72742;405,3662588;230,497063;74140;304,3320406;CALI
71966;407,1827136;226,7234458;72765;302,7044054;CALI
40168;256,077799;199,9792023;40630;226,1492561;SEKER
39797;287,8634353;176,4977828;40299;225,1024526;DERMASON
35031;232,0680178;192,5367815;35369;211,1938789;SEKER
42982;294,3925644;186,6105509;43461;233,9367054;SIRA
35020;250,447503;178,3763964;35491;211,1607181;DERMASON
37177;235,0857319;201,572877;37506;217,5666026;SEKER
48436;326,2953345;189,4371574;49032;248,3357215;HOROZ
32165;250,3883323;163,8465583;32606;202,3703287;DERMASON
53978;366,1477398;189,4386666;54949;262,1582044;HOROZ
42139;281,5399279;191,1879789;42569;231,6312612;DERMASON
41626;265,1217788;200,0727973;41933;230,2170048;SEKER
52443;370,8749132;181,2363951;53048;258,4037566;HOROZ
24887;209,024632;152,4886267;25199;178,0087429;DERMASON
40517;283,6432826;182,3308525;40950;227,1295812;SIRA
23325;207,1718624;143,45349;23498;172,331983;DERMASON
78989;382,0983336;263,828305;80060;317,1307592;BARBUNYA
39445;258,5095736;194,66685;39899;224,1047386;SEKER
37212;241,8861037;196,0563656;37535;217,6689917;SEKER
40863;263,7978064;197,7032286;41222;228,0973203;SEKER
42719;258,6982909;210,6796809;43060;233,2198965;SEKER
62502;369,8376368;216,7894717;63235;282,0993053;CALI
54919;387,967492;181,7508035;55595;264,4334369;HOROZ
42080;296,381604;181,4648433;42469;231,4690477;SIRA
22227;197,9233017;143,9369164;22438;168,2269163;DERMASON
42411;289,1281694;187,9553781;42962;232,3776287;SIRA
50709;320,7526312;201,9478316;51332;254,0958561;SIRA
49345;327,1755275;193,0762219;49928;250,6551522;SIRA
36738;237,9328529;197,0584232;37032;216,2782338;SEKER
76709;417,5289524;236,53146;77578;312,5202909;CALI
48388;349,800953;177,5410253;48990;248,2126409;HOROZ
34571;260,9495938;168,9442537;34882;209,8026794;DERMASON
30426;245,5620984;158,2435593;30741;196,8237445;DERMASON
77054;407,4000036;242,4180322;78024;313,2222851;CALI
41240;315,6898102;167,5037386;41796;229,1471118;HOROZ
40448;282,4991849;182,8734254;40849;226,9360992;DERMASON
37823;279,4038472;172,532643;38230;219,4487168;DERMASON
79795;421,2060002;243,319014;81264;318,7446462;CALI
44199;300,4557913;187,9910213;44865;237,2254511;SIRA
178200;578,0201216;395,9361941;180886;476,3310686;BOMBAY
45502;304,5152524;190,7146866;45895;240,6967922;SIRA
24388;229,5043806;135,5364056;24631;176,2151129;DERMASON
156910;541,9193789;370,567044;158236;446,9720539;BOMBAY
48649;322,3650828;192,5169993;49095;248,8811576;SIRA
33507;256,1514009;167,3941553;33958;206,5488742;DERMASON
37231;269,4122528;176,7364301;37633;217,7245542;DERMASON
30109;244,3649465;157,2617062;30471;195,795734;DERMASON
31834;235,2444452;172,7409358;32165;201,326371;DERMASON
58634;351,8374671;214,941906;59677;273,230905;CALI
89280;448,9538741;254,7085582;90253;337,1569761;CALI
70015;387,8131025;233,242644;71660;298,5730509;CALI
43212;292,2292652;189,0768953;43887;234,561777;SIRA
38695;244,5323482;201,7008856;39019;221,9639705;SEKER
33641;260,5239577;165,0223139;34006;206,9614735;DERMASON
38934;281,1043348;176,7996396;39309;222,6483964;DERMASON
32593;252,5094773;164,7414971;32950;203,7122885;DERMASON
33483;250,3948035;170,7458295;33784;206,4748887;DERMASON
36521;278,2900716;168,3759448;36941;215,6385434;DERMASON
68435;397,36528;222,357838;69877;295,1849391;CALI
46605;300,3804625;198,0865316;47164;243,5966522;SIRA
47975;307,2295855;199,4956239;48460;247,1511019;SIRA
40531;280,3221733;184,9779241;40966;227,1688183;SIRA
168514;567,0395457;381,1117797;170385;463,204802;BOMBAY
56131;352,1789922;203,3050691;56543;267,3353865;SIRA
61013;344,0611383;229,2631251;62063;278,7187908;CALI
43255;297,6927946;185,4316736;43833;234,6784534;SIRA
29447;239,3146307;157,9483621;29784;193,6313117;DERMASON
62493;398,8778744;201,8084816;63814;282,078994;CALI
30523;246,5474853;157,9002434;30863;197,137238;DERMASON
40454;284,4584292;182,0710321;40915;226,9529302;SIRA
43672;255,2284541;218,1415993;44066;235,8069494;SEKER
26983;223,4526419;154,0370819;27294;185,3532375;DERMASON
39530;278,3444836;181,3849342;39940;224,3460702;SIRA
42998;258,4125732;212,1419002;43376;233,9802426;SEKER
30391;232,240455;166,9158003;30837;196,7105056;DERMASON
74699;414,659335;231,2611245;76482;308,3986393;CALI
84226;440,5559563;245,6595216;85372;327,4749974;CALI
28881;238,0328966;154,7716816;29126;191,7613916;DERMASON
51118;337,3899233;193,8206144;51680;255,1185196;SIRA
63139;378,9365767;214,3428288;64207;283,5331931;CALI
42315;256,9243649;210,0993786;42644;232,1144789;SEKER
67889;381,7257559;229,9273035;69235;294,005033;CALI
81090;394,623288;263,271023;82557;321,3207038;BARBUNYA
24991;218,7656148;145,7919178;25568;178,3802945;DERMASON
67848;388,5368326;222,9781567;68623;293,9162408;BARBUNYA
44749;266,7535747;213,844924;45131;238,6968713;SEKER
36496;218,3369555;213,0391831;36927;215,5647244;SEKER
52045;374,8406694;177,5386776;52714;257,4213513;HOROZ
54991;356,9962841;198,2208731;55868;264,6067191;HOROZ
44156;291,1407851;193,8957734;44704;237,1100279;SIRA
28310;238,072282;151,8170946;28692;189,8562917;DERMASON
27624;232,0169415;152,2554302;28015;187,5419131;DERMASON
66242;417,4311734;202,9145571;67012;290,4168279;HOROZ
43752;276,4439767;202,4861281;44197;236,0228306;SIRA
35658;257,648981;176,788382;36029;213,0755164;DERMASON
51426;373,5488404;175,884179;52047;255,885945;HOROZ
38241;246,3847077;197,8848539;38534;220,6580011;SEKER
31611;247,5684815;163,1310109;31879;200,6199772;DERMASON
61112;388,6753855;201,082038;62139;278,9448244;HOROZ
26625;234,4139087;145,0415273;26972;184,1195342;DERMASON
36965;263,1023517;179,1557288;37296;216,9453843;DERMASON
35724;260,626197;174,9516171;36149;213,2726178;DERMASON
38825;249,2813549;198,6156567;39189;222,3365137;SEKER
52562;332,3567684;202,2219788;53046;258,6967664;SIRA
48868;286,9172527;217,1602035;49210;249,4407145;SEKER
28533;235,3354438;154,7647934;28885;190,6025811;DERMASON
26824;223,4153303;153,3451948;27158;184,8063244;DERMASON
66372;392,7459887;218,056199;67804;290,7016599;CALI
30446;245,6234234;158,2712836;30759;196,8884232;DERMASON
29310;238,6403771;156,7726573;29686;193,1803589;DERMASON
27986;227,8561214;156,8294174;28280;188,7667394;DERMASON
62321;382,5364271;208,0815251;62943;281,6905424;HOROZ
47397;298,9438523;202,4773383;47836;245,6577593;SIRA
52047;322,0632653;206,6722292;52603;257,4262974;SIRA
44495;296,3986318;191,4147962;45063;238,0184731;SEKER
34440;255,6858232;171,9606206;34855;209,4047992;DERMASON
48841;347,3505769;179,527703;49511;249,3717959;HOROZ
27578;229,7758474;153,2815866;28005;187,3856989;DERMASON
48237;314,599982;195,3707361;48597;247,825051;SEKER
34532;217,0221026;202,7149085;35057;209,6843055;SEKER
50702;363,6502616;178,5447762;51307;254,0783174;HOROZ
72697;391,4185544;239,1742064;73964;304,2378924;CALI
45479;310,5867369;187,1312785;46067;240,6359517;SIRA
27890;231,3788894;153,8536743;28279;188,4426993;DERMASON
55513;348,2910301;203,4497786;56040;265,8596375;SIRA
49111;337,4183289;185,796998;49628;250,0601273;SIRA
43629;295,0560665;189,2264858;44322;235,6908316;SIRA
65301;357,962786;232,5992193;66437;288,3466933;BARBUNYA
173967;604,93982;370,0099489;176528;470,6396327;BOMBAY
26163;227,756922;146,4301763;26435;182,5151123;DERMASON
40406;283,3215557;182,209845;40837;226,8182467;SIRA
38891;319,4999963;156,8696185;39651;222,5254123;HOROZ
32677;254,0073338;164,3518726;33003;203,9746274;DERMASON
55749;376,674388;188,7362803;56278;266,4241569;HOROZ
27770;224,8720126;157,3307031;28076;188,0368638;DERMASON
39901;239,5019006;212,5000815;40196;225,3963866;SEKER
84584;394,41481;274,3782349;85824;328,1702205;BARBUNYA
43047;288,11903;191,0736746;43492;234,1135252;SIRA
73849;397,3697444;237,6445606;74917;306,638985;BARBUNYA
50698;328,9275314;197,1141753;51211;254,0682948;HOROZ
60716;406,1436422;194,0417794;62504;278,0395875;HOROZ
39009;259,6263611;191,582575;39404;222,8627412;SIRA
40813;276,8544214;188,3717391;41177;227,9577275;DERMASON
71197;376,2982279;241,221986;72221;301,0827725;BARBUNYA
71648;402,7510088;229,1211745;73209;302,034877;CALI
33190;254,6851463;166,2636038;33480;205,5695028;DERMASON
38726;276,7370044;179,6180068;39285;222,0528644;DERMASON
34475;241,0431821;182,3691135;34878;209,511177;SEKER
44187;291,0978381;193,9573336;44836;237,1932456;SIRA
41579;280,3278806;189,7016986;42117;230,0869988;SIRA
35634;235,1230447;193,2178621;36006;213,0037979;SEKER
35131;234,5230255;190,924541;35466;211,4951027;SEKER
34882;234,5232449;189,5311789;35219;210,7442569;SEKER
77067;398,9042899;247,7669124;78528;313,2487063;BARBUNYA
71176;386,8971528;236,9260366;72118;301,0383661;CALI
30408;243,0580856;159,9605066;30696;196,7655155;DERMASON
31675;233,5736375;173,1356878;32010;200,8229633;DERMASON
53382;345,288309;201,8438182;54762;260,7068725;HOROZ
76655;423,9748356;232,0597877;78011;312,4102708;CALI
49226;360,8226857;175,5796931;49991;250,3527308;HOROZ
35259;234,8896338;191,2971925;35577;211,8800441;SEKER
144704;545,1107486;338,9575733;145929;429,2351979;BOMBAY
44421;259,8055498;218,3461679;45157;237,8204655;SEKER
78466;418,902484;240,2534013;79269;316,0791264;CALI
38887;246,8180146;201,0186174;39248;222,5139685;SEKER
46299;308,1820154;191,7478465;46772;242,7956295;SIRA
26639;216,5579368;157,1603046;27043;184,1679349;DERMASON
85890;417,5364203;262,7196446;87188;330,6940346;BARBUNYA
30462;243,2841575;160,0686273;30719;196,9401508;DERMASON
81862;435,6896775;241,3358117;83105;322,8466131;CALI
32655;242,394057;172,3049255;33136;203,9059522;DERMASON
32284;260,3947754;158,1645121;32700;202,7443352;DERMASON
29569;227,9803771;165,8994671;29964;194,0320079;DERMASON
66882;356,4977785;240,0874745;68146;291,816393;BARBUNYA
31558;253,6124887;159,1054119;31927;200,4517237;DERMASON
28313;222,4884394;162,1504801;28531;189,866351;DERMASON
76415;421,8737338;232,9591082;77948;311,920823;CALI
36592;239,8121644;194,3987173;36953;215,8480517;SEKER
77977;402,5569313;247,7280324;78830;315,0926847;CALI
32685;252,5139393;165,2260746;33102;203,9995944;DERMASON
51728;318,7450423;206,9900286;52170;256,6361922;SIRA
40841;252,1445622;206,5444998;41253;228,03591;SEKER
46014;307,9433601;191,864326;46726;242,0471946;SIRA
80050;403,0061294;253,685414;80805;319,2535443;BARBUNYA
74876;425,8292807;225,9667245;75676;308,7637999;CALI
46659;302,8512562;199,0343219;47769;243,7377359;SIRA
