Area;Perimeter;MajorAxisLength;MinorAxisLength;Class
5,1259;8,53865;3,184162569;2,056729665;SIRA
2,6962;6,06927;2,188406959;1,575983653;DERMASON
5,2534;8,69452;3,428557614;1,962002566;SIRA
4,7439;8,33066;3,152404312;1,925847123;SIRA
3,6877;7,12904;2,631935501;1,786550154;SIRA
4,0609;7,4707;2,749567431;1,882991741;SIRA
3,578;6,95185;2,568210498;1,777155929;DERMASON
3,7736;7,91577;2,973898936;1,657508975;HOROZ
8,5226;11,04753;4,27749008;2,565457649;CALI
5,5779;9,24817;3,65215337;1,954545206;HOROZ
2,7854;6,1909;2,336339354;1,529888527;DERMASON
4,3678;7,67654;2,762778555;2,020817352;SIRA
4,1945;7,79596;3,059030809;1,753677635;SIRA
5,2926;8,74021;3,375329587;2,010675043;SIRA
7,4722;10,6527;4,108183629;2,341510759;CALI
4,7245;8,26032;3,167318396;1,905824299;SIRA
7,0955;10,40914;4,112238949;2,214570884;CALI
3,6691;7,05173;2,595012429;1,803735801;DERMASON
3,6759;7,31413;2,670908592;1,766171895;DERMASON
7,3978;10,7369;4,100002519;2,345724254;CALI
5,2569;9,2394;3,768764674;1,816248029;HOROZ
5,0235;8,35312;3,107783498;2,070971068;SIRA
3,903;7,38414;2,778645027;1,795408596;DERMASON
4,3874;7,90864;3,014945475;1,86549139;SIRA
3,9374;7,40919;2,729861883;1,84310568;SIRA
2,6578;5,91719;2,071700535;1,636688163;DERMASON
7,3973;10,5415;4,011511692;2,368815779;CALI
3,724;7,31308;2,760085871;1,728292023;SIRA
5,3008;9,0115;3,581807514;1,897374963;HOROZ
5,2566;8,74526;3,408023077;1,977979167;SIRA
4,9914;8,98429;3,621192665;1,776862916;HOROZ
2,6092;5,90945;2,081101279;1,598609259;DERMASON
4,9949;8,78258;3,572009479;1,787667491;HOROZ
5,4349;9,08396;3,686042693;1,8893584;HOROZ
4,3309;7,88229;3,117607094;1,775100492;SIRA
9,1235;11,58807;4,573964108;2,566972405;CALI
2,5677;5,86209;2,155427721;1,519313763;DERMASON
7,4547;10,70415;4,190838849;2,293790307;CALI
2,9037;6,39176;2,385018214;1,552258911;DERMASON
8,7911;11,53126;4,422787184;2,556493563;CALI
3,0768;6,47162;2,365545568;1,658821221;DERMASON
4,8998;8,35087;3,248884105;1,930014002;SIRA
3,1225;6,61627;2,511724603;1,588730165;DERMASON
5,1105;9,05379;3,646076763;1,794891889;HOROZ
3,8294;7,71058;3,060067702;1,603861358;HOROZ
4,4327;8,13871;3,103989608;1,824400991;SIRA
4,9657;8,3477;3,167777699;2,004871271;SIRA
5,3715;9,62027;3,865679918;1,77450289;HOROZ
6,4099;10,18482;4,291368414;1,909777577;HOROZ
5,3171;9,07287;3,662212707;1,862946336;HOROZ
3,5506;7,13086;2,621062149;1,732478277;SIRA
3,0351;6,60466;2,433848931;1,591468213;DERMASON
3,598;7,1063;2,599490691;1,768295109;DERMASON
4,5528;8,00854;2,928849181;1,987353314;SIRA
4,1992;7,63279;2,932241221;1,828795225;DERMASON
5,004;9,15891;3,700077054;1,743767191;HOROZ
6,4096;9,87105;3,971214378;2,059690031;HOROZ
3,8669;7,25947;2,670618;1,847522549;DERMASON
5,0376;8,36498;3,026888708;2,126430848;SIRA
6,8315;10,18512;4,07842896;2,154897503;HOROZ
2,9172;6,44652;2,421016245;1,540686654;DERMASON
7,3184;10,77293;4,429813213;2,113459877;HOROZ
8,1592;10,92977;4,329595097;2,423349194;CALI
2,6564;6,05984;2,203652256;1,5406486;DERMASON
2,5623;5,95048;2,255910435;1,448607612;DERMASON
2,6591;6,26823;2,252640971;1,507048508;DERMASON
2,7098;6,2292;2,360994315;1,465264842;DERMASON
4,0292;7,4257;2,614182115;1,975214725;SIRA
3,7596;7,17714;2,694540856;1,778561492;DERMASON
3,3844;6,69837;2,391680949;1,803396663;DERMASON
4,7468;8,80635;3,577413431;1,700492761;HOROZ
3,0164;6,56289;2,416225794;1,592013424;DERMASON
5,9464;9,57822;3,870748949;1,971104314;HOROZ
3,0329;6,47174;2,451549656;1,578137315;DERMASON
8,6375;11,26579;4,343846449;2,552176489;CALI
5,3419;8,77594;3,434271618;1,986831325;SIRA
4,1626;7,75039;2,960576494;1,796283384;DERMASON
2,7611;6,17395;2,213494523;1,600611852;DERMASON
9,4415;12,07294;4,810232314;2,529364026;CALI
3,7477;7,15262;2,652159798;1,801360707;DERMASON
3,5613;7,02514;2,646117952;1,723999259;DERMASON
3,7881;7,30471;2,737763156;1,767037243;SIRA
3,053;6,47072;2,435704713;1,598487883;DERMASON
3,4629;6,98608;2,623566926;1,684610468;DERMASON
5,8757;9,51819;3,860235519;1,954800903;HOROZ
4,1829;7,63022;2,794653276;1,912794395;SIRA
3,1365;6,50732;2,37174518;1,68624629;DERMASON
4,6354;8,18771;3,149282143;1,884378882;SIRA
4,3242;7,94513;2,956946645;1,870798445;SIRA
5,4825;9,29507;3,841827162;1,82747826;HOROZ
5,2974;9,00713;3,71174681;1,824051327;HOROZ
3,7555;7,08287;2,635239703;1,816686703;SIRA
4,537;8,11372;3,036381726;1,908969725;SIRA
2,5665;5,94833;2,26610965;1,446611192;DERMASON
4,1195;7,59615;2,840638731;1,854795379;SIRA
5,5538;9,43742;3,926406394;1,818489754;HOROZ
6,0592;9,19006;3,542600075;2,184582782;CALI
3,0552;6,42087;2,301569689;1,693469472;DERMASON
7,4942;10,56788;4,132025059;2,342531319;CALI
6,1096;10,05146;4,069426011;1,927526844;HOROZ
3,492;7,11383;2,60898178;1,711994101;DERMASON
3,8157;7,23294;2,658867651;1,83476374;DERMASON
6,2194;9,80312;3,910499928;2,03692152;HOROZ
7,4336;10,61328;4,181548206;2,275449364;CALI
3,956;7,65067;2,835270612;1,781061085;DERMASON
4,9705;8,45105;3,22776958;1,964548056;SIRA
4,2044;7,7785;2,945178513;1,829759506;SIRA
7,1977;10,34818;3,982830064;2,313987532;CALI
7,9765;10,85663;4,208694905;2,432055601;CALI
3,8273;7,34341;2,698911914;1,811090884;DERMASON
6,8552;10,14755;3,904415269;2,260322675;CALI
3,952;7,31357;2,729724152;1,84912273;DERMASON
3,4445;6,76892;2,466615423;1,779715268;DERMASON
4,5423;8,07251;2,991624058;1,939286378;SIRA
3,5176;7,02735;2,675652851;1,675810136;DERMASON
4,7029;7,99758;2,915428207;2,060037694;SIRA
8,9095;11,26165;4,319119918;2,637291843;CALI
4,7049;8,38205;3,051429754;1,969487702;SIRA
2,6728;6,16154;2,189914088;1,556294124;DERMASON
4,6186;8,12239;3,154152836;1,876318774;SIRA
3,1763;6,76731;2,610685449;1,553834207;DERMASON
7,2839;10,17763;3,846550098;2,432440353;CALI
6,6833;10,18336;4,003970767;2,143462145;CALI
2,743;6,16386;2,349459604;1,496236118;DERMASON
3,7318;7,2477;2,671270422;1,784003095;SIRA
4,7171;8,60849;3,48027196;1,743526498;HOROZ
3,2942;6,7388;2,441862928;1,722080371;DERMASON
3,9892;7,39238;2,721477553;1,874275888;DERMASON
4,3205;7,68043;2,820801793;1,956517826;SIRA
4,066;7,50676;2,799752458;1,858686357;SIRA
4,4171;8,2619;3,434056346;1,639725577;HOROZ
8,1929;11,62588;4,435277303;2,366011819;HOROZ
4,3282;7,77646;2,949903332;1,872555089;SIRA
2,8262;6,28251;2,28451745;1,581130471;DERMASON
5,715;9,56504;3,969845225;1,840545577;HOROZ
3,2142;6,6394;2,495084559;1,643289344;DERMASON
3,5808;7,3941;2,958537985;1,549226685;DERMASON
6,9371;9,96596;3,802824066;2,341764383;CALI
3,9081;7,32027;2,656428981;1,876631411;DERMASON
4,0585;7,45618;2,717977944;1,908538701;SIRA
3,0735;6,4376;2,322038524;1,68973512;DERMASON
3,8218;7,15914;2,596574493;1,879657916;DERMASON
8,3343;11,13526;4,168090886;2,576891372;CALI
5,4785;9,33137;3,838828656;1,832796697;HOROZ
3,189;6,61977;2,429988586;1,673011328;DERMASON
3,9814;7,40266;2,784356845;1,823816646;DERMASON
3,9389;7,45439;2,78276302;1,810343667;SIRA
4,3886;7,73792;2,898960571;1,93321899;HOROZ
6,9667;10,35546;4,048892675;2,220585678;CALI
4,0949;7,60643;2,911129726;1,79542455;DERMASON
3,1824;6,65261;2,490265506;1,630475839;DERMASON
4,2982;7,84328;2,943925644;1,866105509;SIRA
2,7837;6,1274;2,17883703;1,635326906;DERMASON
5,9503;9,73139;3,972301058;1,915888967;HOROZ
4,1768;7,75542;2,936663322;1,819615362;SIRA
2,7994;6,28839;2,389646801;1,493935462;DERMASON
2,6431;5,98299;2,195729451;1,539217707;DERMASON
3,5233;7,07917;2,632304507;1,70859998;DERMASON
7,1658;10,57001;4,173026137;2,210092016;CALI
3,1874;6,65463;2,503141899;1,623610836;DERMASON
3,7237;7,24155;2,648154251;1,799112389;DERMASON
2,7617;6,25484;2,437987353;1,44823862;DERMASON
3,0015;6,41881;2,361660032;1,621171454;DERMASON
3,0051;6,31405;2,250001049;1,705621989;DERMASON
4,4032;7,81299;2,899115643;1,952323586;SIRA
7,1184;10,6163;4,191542715;2,182612953;CALI
4,8234;8,52728;3,336436452;1,84745709;HOROZ
5,5501;8,98191;3,45523159;2,070296994;CALI
5,9015;9,74721;3,953853543;1,923672108;HOROZ
4,1035;7,65015;2,941168061;1,779955825;SIRA
4,206;7,65942;2,732295066;1,985576346;SIRA
5,7549;9,29955;3,629373998;2,045544341;CALI
9,3438;11,9646;4,654752175;2,592026572;CALI
4,0467;7,47268;2,612626686;1,979231131;DERMASON
4,9518;8,64968;3,471134717;1,823424281;HOROZ
5,3408;9,04541;3,723549934;1,833314259;HOROZ
3,0196;6,4925;2,492407933;1,550719392;DERMASON
4,0774;7,32684;2,624489681;1,980125453;DERMASON
5,5319;9,33642;3,800179284;1,870291552;HOROZ
3,1497;6,64096;2,371334746;1,694922012;DERMASON
2,4934;5,89119;2,168434003;1,475652569;DERMASON
5,3933;9,1568;3,667775612;1,912792215;HOROZ
2,8392;6,25919;2,284209322;1,58983436;DERMASON
3,6481;7,02701;2,645266805;1,759062947;DERMASON
2,8671;6,27304;2,344542717;1,561420371;DERMASON
10,2108;12,32802;4,809413524;2,737578797;CALI
3,3816;6,87426;2,527570007;1,707938506;DERMASON
7,0237;10,0122;3,754192475;2,391801656;CALI
7,4943;10,66916;4,172571528;2,304865741;CALI
3,2951;6,7277;2,510017028;1,676700126;DERMASON
3,2314;6,63884;2,474085741;1,66732697;DERMASON
5,0833;8,98973;3,623539235;1,797246126;HOROZ
5,019;8,80335;3,612338058;1,782027794;HOROZ
3,1634;6,54544;2,396793961;1,683886875;DERMASON
6,4346;9,67065;3,760208577;2,208809807;CALI
4,4695;7,83926;2,862789004;2,005808479;SIRA
5,2995;9,17029;3,867899328;1,750464077;HOROZ
4,834;8,34914;3,182489783;1,951589178;SIRA
2,6163;6,00667;2,27756922;1,464301763;DERMASON
5,7217;9,48292;3,904365064;1,878260462;HOROZ
4,6324;8,08065;2,918019271;2,030235359;SIRA
5,138;8,99321;3,682354517;1,795944701;HOROZ
6,5144;9,74566;3,682026409;2,269820111;CALI
6,867;10,50566;4,139228612;2,122300571;CALI
5,3749;8,7719;3,40096155;2,023696457;SIRA
2,728;6,03203;2,230210859;1,561554337;DERMASON
3,2775;6,86128;2,606636671;1,607947083;DERMASON
3,65;7,42992;2,958043238;1,585295194;HOROZ
7,1161;10,37077;4,077629739;2,237249901;CALI
3,1639;6,63311;2,560568995;1,575410948;DERMASON
4,9211;8,51431;3,240781066;1,948306683;SIRA
3,6522;7,06641;2,585101796;1,802577811;DERMASON
7,2969;10,47623;4,076394504;2,303269092;CALI
3,6581;7,11899;2,666283294;1,749238304;DERMASON
6,1704;9,69404;3,956012989;1,99799678;HOROZ
3,7784;7,17954;2,691635103;1,789581635;SIRA
5,6849;9,88944;4,115627193;1,762822485;HOROZ
3,9419;7,42776;2,740830961;1,84586766;SIRA
3,8464;7,3667;2,891749073;1,697010225;DERMASON
7,5335;10,45764;4,084106538;2,370383312;CALI
2,9544;6,52339;2,506873072;1,509461489;DERMASON
5,2443;9,01308;3,708749132;1,812363951;HOROZ
3,5689;6,96455;2,544636208;1,79093964;DERMASON
3,6216;7,02047;2,610940408;1,771600801;DERMASON
3,8934;7,33244;2,811043348;1,767996396;DERMASON
2,7355;6,11896;2,276450698;1,535212727;DERMASON
8,2638;11,17383;4,514290441;2,3563571;CALI
3,7537;7,42621;2,942614873;1,629060461;DERMASON
5,7011;9,427;3,81980929;1,915812266;HOROZ
4,1102;7,92163;3,262319591;1,610403661;HOROZ
3,8612;7,42726;2,768687886;1,783913017;SIRA
7,6794;10,45608;3,957538512;2,487498339;CALI
2,7763;6,14936;2,24484583;1,58120668;DERMASON
5,6866;9,75289;3,918120412;1,869731414;HOROZ
6,1455;9,83084;4,006368458;1,96134244;HOROZ
8,0856;11,06265;4,327253831;2,396112184;CALI
3,7401;7,18286;2,729152915;1,749021975;DERMASON
5,5608;9,18716;3,484501558;2,054062325;CALI
4,48;7,96542;3,09240482;1,85223818;SIRA
4,0712;7,54969;2,840126525;1,828167787;SIRA
3,4359;6,91867;2,647905497;1,656443363;DERMASON
4,911;8,35878;3,094564571;2,038432306;SIRA
7,2948;10,21657;3,927992825;2,382819707;CALI
5,8849;9,59596;3,66160794;2,055118737;HOROZ
3,7809;7,30232;2,678432046;1,803682622;DERMASON
3,5833;6,98409;2,630078589;1,740388501;DERMASON
3,9092;7,58227;2,761569331;1,810527587;SIRA
5,0678;8,58577;3,235980611;2,011319829;SIRA
7,511;10,74352;4,241143226;2,283982529;CALI
4,4355;7,89387;3,007143141;1,884351929;SIRA
3,3494;6,78636;2,474457385;1,725911904;DERMASON
4,6642;8,75771;3,621727717;1,64878319;HOROZ
3,4627;6,86753;2,543772765;1,738902109;DERMASON
3,0951;6,63637;2,597471454;1,519687803;DERMASON
4,6522;8,53266;3,511710871;1,704460356;HOROZ
3,8744;7,31086;2,780277913;1,777858714;DERMASON
5,9208;9,58477;3,716911507;2,037493708;CALI
4,7545;8,15076;3,082470263;1,970890391;SIRA
2,4545;5,84164;2,219685464;1,411223374;DERMASON
5,8176;9,49025;3,801034973;1,960077084;HOROZ
4,9066;8,21717;3,102911232;2,018246541;SIRA
7,8565;11,06256;4,299334919;2,364821317;CALI
3,818;7,24522;2,621790259;1,863858232;DERMASON
2,6264;5,99479;2,217402597;1,512012457;DERMASON
3,7975;7,16986;2,687176338;1,801857166;SIRA
4,9441;8,55825;3,375657889;1,898626865;SIRA
6,7336;10,32779;3,998204649;2,172274491;CALI
5,387;9,28608;3,835232584;1,796112825;HOROZ
8,0987;10,94035;4,256211603;2,440051867;CALI
4,6777;8,45203;3,491877688;1,711671257;HOROZ
4,5469;8,48018;3,575147115;1,624187859;HOROZ
3,897;7,70803;3,141828398;1,586797489;HOROZ
3,5762;7,04422;2,69095698;1,695759021;DERMASON
4,7134;8,80522;3,58818816;1,680783821;HOROZ
4,8892;8,25048;3,125034813;1,997488386;SIRA
6,3948;9,96497;4,122971781;1,98877557;HOROZ
3,7327;7,48298;2,708479809;1,758114502;DERMASON
4,8856;8,31807;3,140744965;1,985126219;SIRA
4,0158;7,60511;2,784493429;1,849811308;SIRA
9,3494;11,60772;4,477111926;2,673885695;CALI
9,6148;11,85141;4,640364174;2,667571838;CALI
4,0937;7,4292;2,697249855;1,935959403;DERMASON
2,9891;6,40169;2,370084418;1,608426509;DERMASON
4,7512;8,39433;3,12732286;2,00959732;HOROZ
3,127;6,42131;2,307847535;1,731093399;DERMASON
3,2457;6,70787;2,452643628;1,688151005;DERMASON
6,7889;10,62461;4,383611957;1,981784927;HOROZ
3,4304;6,90332;2,615908535;1,673115206;DERMASON
2,9628;6,4671;2,303177859;1,640233621;DERMASON
2,8278;6,80236;2,371094314;1,530891717;DERMASON
4,8324;8,76469;3,585532487;1,722287515;HOROZ
2,8546;6,12114;2,200364105;1,655130155;DERMASON
2,8282;6,18728;2,248899722;1,607595846;DERMASON
5,8542;9,43418;3,862558352;1,945732215;HOROZ
3,8787;7,33565;2,633797775;1,877299762;SIRA
8,8625;11,40249;4,474827971;2,537914261;CALI
4,7927;8,24548;3,071882634;1,994703632;SIRA
7,0286;10,1115;3,832150452;2,359828209;CALI
3,8811;7,42218;2,64634744;1,873745512;DERMASON
3,5184;6,97535;2,629989711;1,706002761;DERMASON
5,6337;9,42939;3,951803258;1,826019455;HOROZ
3,0063;6,481;2,503079922;1,53498392;DERMASON
4,5664;8,02466;3,049506371;1,913532203;SIRA
7,8522;10,76493;4,309666283;2,33047703;CALI
5,7949;9,64495;3,808861999;1,951766231;HOROZ
3,7029;7,29628;2,717140348;1,738603205;DERMASON
2,6325;6,081;2,290356868;1,472539119;DERMASON
7,607;10,63592;4,131743905;2,353469831;CALI
3,9266;7,42046;2,698232313;1,859702506;SIRA
6,7031;9,77642;3,705708826;2,320351282;CALI
5,5272;9,38937;3,899998783;1,808831036;HOROZ
3,0161;6,39838;2,326757118;1,654373625;DERMASON
4,1574;7,54002;2,73506578;1,938869062;DERMASON
5,2203;9,05561;3,795789744;1,76009903;HOROZ
4,5161;8,14448;3,029709841;1,902388073;SIRA
8,8858;11,62919;4,534168019;2,525221424;CALI
5,3661;8,71401;3,34471822;2,052799979;SIRA
4,6379;8,09067;3,078611454;1,923070987;SIRA
3,0708;6,5927;2,506504374;1,565493905;DERMASON
2,9701;6,43652;2,50322894;1,516272301;DERMASON
4,0544;7,59063;2,850883467;1,815208386;DERMASON
4,7264;8,48013;3,478307664;1,743902443;HOROZ
7,3299;10,42622;4,086516884;2,294278965;CALI
4,7791;8,7356;3,68740375;1,657711303;HOROZ
8,4331;11,13655;4,343328911;2,497984705;CALI
4,0748;7,60445;2,949468402;1,764278662;DERMASON
5,6936;9,6162;3,91592262;1,874379286;HOROZ
3,9061;7,39395;2,723422598;1,828147714;DERMASON
2,4873;5,79111;2,057128093;1,543199847;DERMASON
5,9179;9,52913;3,822096414;1,995902141;HOROZ
3,8598;7,28557;2,695496138;1,826703336;DERMASON
8,7779;11,66965;4,73950668;2,408544026;CALI
3,5489;7,02532;2,672950921;1,697669948;DERMASON
7,4336;10,54454;4,067324636;2,356378361;CALI
4,466;7,82631;2,886180501;1,974738282;SIRA
3,5384;7,01617;2,687483673;1,680076422;DERMASON
6,9923;10,15485;3,765109885;2,367004154;CALI
2,7903;6,26565;2,360763095;1,510462383;DERMASON
3,7311;7,14446;2,641649286;1,799763959;DERMASON
8,7851;11,39091;4,4054674;2,557018344;CALI
2,7475;6,29537;2,358705626;1,489636302;DERMASON
3,7065;7,19836;2,761133057;1,719931526;SIRA
4,5733;7,96436;3,017336942;1,936893671;SIRA
8,8464;11,28201;4,283970581;2,650758936;CALI
2,6145;5,93741;2,174136744;1,533228931;DERMASON
4,7677;8,34119;3,139661431;1,941148488;SIRA
7,4788;10,58364;4,153324881;2,30726488;CALI
3,1996;6,6665;2,432912266;1,679910741;DERMASON
3,3493;6,83487;2,527723761;1,694350399;SIRA
3,2247;6,61466;2,494888135;1,650153761;DERMASON
4,1086;8,07202;3,330298565;1,582765383;HOROZ
4,7463;8,17819;3,033413163;1,998199479;SIRA
2,6161;6,02251;2,301195599;1,449688198;DERMASON
3,1707;6,67611;2,561094577;1,582723142;DERMASON
4,0276;7,50386;2,817426336;1,827189954;SIRA
5,2313;8,96732;3,524820889;1,893009514;HOROZ
5,5696;9,0096;3,509195173;2,034276025;SIRA
8,944;11,83885;4,791343769;2,410775361;CALI
3,3484;6,81496;2,481528913;1,719687392;DERMASON
2,8687;6,33471;2,418785239;1,513485535;DERMASON
2,6311;6,00129;2,241376272;1,496148018;DERMASON
3,9104;7,2499;2,571793952;1,940677002;DERMASON
8,017;10,78862;4,160825942;2,477927835;CALI
3,3421;6,76708;2,562730653;1,665515765;DERMASON
5,4366;9,33319;3,899463531;1,78055523;HOROZ
2,7408;6,25993;2,308101581;1,517794063;DERMASON
3,3299;6,78008;2,570613413;1,654223944;DERMASON
6,8456;10,21462;3,933877979;2,231710944;CALI
4,8217;8,25418;3,076195513;2,003317527;SIRA
2,9741;6,41815;2,373907688;1,600058987;DERMASON
5,009;8,47229;3,27783447;1,955280256;SIRA
4,6383;8,20606;3,0653313;1,943638771;SIRA
7,1126;10,37583;4,037911097;2,25481344;CALI
4,0751;7,70797;2,950184998;1,76403116;SIRA
5,2153;8,7117;3,397639077;1,969072911;SIRA
7,603;10,58572;4,128819876;2,367943681;CALI
4,551;8,0794;3,042641965;1,910623425;SIRA
3,76;7,21237;2,68883109;1,7820375;DERMASON
4,697;8,6088;3,514442771;1,709235131;HOROZ
7,8075;10,87899;4,215209301;2,376859638;CALI
5,1967;9,04803;3,544039337;1,876578275;HOROZ
3,9588;7,28106;2,62788948;1,92125264;DERMASON
3,0287;6,46141;2,426682283;1,590700861;DERMASON
3,8122;7,2696;2,691021402;1,806384302;DERMASON
2,5723;5,9677;2,251437187;1,456950274;DERMASON
2,6437;6,01896;2,263481201;1,492375199;DERMASON
2,824;6,48293;2,47933286;1,452984482;DERMASON
8,6618;11,19543;4,345556246;2,549712048;CALI
3,714;7,11337;2,549999867;1,867010133;SIRA
2,4171;5,69727;2,076817145;1,483817131;DERMASON
7,9236;10,91724;4,218782726;2,398612704;CALI
4,0975;7,63683;2,8328423;1,846572412;DERMASON
6,1639;9,8213;4,06985728;1,93920952;HOROZ
7,7809;10,7541;4,105856876;2,431165011;CALI
4,2257;7,72737;2,852306727;1,89547831;SIRA
2,9172;6,31886;2,316411143;1,60625464;DERMASON
7,5675;11,06158;4,526645244;2,135092184;HOROZ
7,8807;10,88885;4,267867861;2,376889709;CALI
2,9307;6,35103;2,397653873;1,558495235;DERMASON
7,3365;10,26958;3,959643915;2,384027013;CALI
2,7806;6,12108;2,227477683;1,595157076;DERMASON
2,8612;6,18909;2,297743407;1,586776529;DERMASON
6,9665;10,74074;4,283018003;2,090342675;HOROZ
7,6886;10,69947;4,29428419;2,306442016;CALI
4,7938;8,28665;3,179398114;1,929005131;SIRA
3,0099;6,38821;2,371419113;1,623034301;DERMASON
4,3103;7,75123;2,931175321;1,876114003;SIRA
9,2222;11,80856;4,601372664;2,602161093;CALI
5,723;9,53606;3,954095217;1,849630681;HOROZ
4,5471;8,48858;3,464046728;1,687187575;HOROZ
3,4825;7,04926;2,64593648;1,682855608;SIRA
6,6973;10,16147;3,97999741;2,172643649;CALI
6,3052;10,08074;3,923228115;2,058257645;HOROZ
4,267;7,91457;2,938811775;1,855367529;HOROZ
2,5098;5,81869;2,077521342;1,544272061;DERMASON
3,4305;6,77703;2,424443654;1,805545652;DERMASON
3,3318;6,88874;2,574648986;1,65036857;SIRA
3,7416;7,19358;2,665843551;1,793004865;SIRA
5,0701;9,17335;3,733353063;1,745116722;HOROZ
3,3999;6,78536;2,470150087;1,754972649;DERMASON
4,3085;7,70316;2,804798916;1,960695195;SIRA
3,6779;6,93373;2,470612347;1,898961047;DERMASON
5,6638;9,46024;3,847802308;1,898678798;HOROZ
3,5545;7,06777;2,74206003;1,65971972;DERMASON
4,1412;7,5059;2,801067125;1,887304849;DERMASON
5,4434;9,46419;3,920469996;1,790746985;HOROZ
4,0406;7,492;2,833215557;1,82209845;SIRA
5,416;9,29492;3,494594503;2,029347314;HOROZ
5,3684;9,0224;3,649581306;1,898962923;HOROZ
5,4417;9,15508;3,716190058;1,875068338;HOROZ
4,524;8,00869;2,999796848;1,924831247;SIRA
3,5968;7,19739;2,678430402;1,714105079;DERMASON
4,0896;7,60258;2,865936294;1,833447328;SIRA
8,0933;11,17231;4,286117334;2,436083048;CALI
8,4099;11,05804;4,288342168;2,510697698;CALI
2,6849;5,97794;2,13151365;1,60702667;DERMASON
8,2389;10,85575;4,153920521;2,537863026;CALI
7,2849;10,35198;4,041446682;2,312032794;CALI
6,8843;10,07263;3,918923946;2,257392283;CALI
9,5806;11,99725;4,768790322;2,569430816;CALI
3,3952;6,82496;2,544748596;1,703420586;DERMASON
6,8505;10,28344;4,206668096;2,082468565;HOROZ
2,526;5,84992;2,074081319;1,559523276;DERMASON
5,0887;9,33584;3,727356361;1,767878002;HOROZ
5,3802;9,2921;3,742964004;1,846069103;HOROZ
4,2293;7,75769;2,906994621;1,857932768;SIRA
3,5773;7,01644;2,597326902;1,757193063;DERMASON
3,9316;7,34754;2,701187574;1,856428377;SIRA
5,0641;8,88595;3,59820388;1,797825674;HOROZ
2,657;6,13754;2,252435172;1,505530474;DERMASON
2,7867;6,17918;2,279083356;1,558782073;DERMASON
5,8887;9,46704;3,841179233;1,958522646;HOROZ
4,3856;7,8516;2,906890663;1,936115153;SIRA
4,2219;7,69884;2,887779838;1,871060851;SIRA
5,0362;8,75033;3,633225223;1,772206369;HOROZ
3,4869;7,17611;2,5563916;1,74652912;DERMASON
7,4623;10,49888;4,049169924;2,368822831;CALI
2,7214;6,14362;2,290634718;1,515672906;DERMASON
2,9286;6,25963;2,144710201;1,741403313;DERMASON
4,3314;7,92262;3,026735269;1,826473133;SIRA
