Perimeter;MajorAxisLength;MinorAxisLength;EquivDiameter;Extent;Class
982,77;396,3877905;194,8600329;277,2255619;0,704320836;HOROZ
753,514;260,3817502;207,5408241;232,2652783;0,75190772;SEKER
654,484;246,0865851;158,0597127;196,9466158;0,790451479;DERMASON
915,794;364,5795437;189,2970041;262,0440457;0,647399885;HOROZ
697,665;244,3788346;191,5007484;216,1869653;0,786202317;SEKER
833,731;318,3902881;198,9982131;251,3323702;0,807907764;SIRA
672,247;254,1840725;158,6839815;199,6497863;0,654704394;DERMASON
996,638;416,1101477;192,2868519;282,2797853;0,624421296;HOROZ
743,443;261,6697885;207,2209851;232,7170901;0,7606402;SEKER
906,253;362,3812629;181,4415766;255,627072;0,72694051;HOROZ
1045,125;354,6890078;247,5008261;295,8936364;0,725060365;BARBUNYA
790,454;300,6493224;184,9498492;235,3610692;0,800644093;SIRA
1921,685;738,1445017;412,9216472;549,6376504;0,784114793;BOMBAY
799,568;290,3946663;195,7600259;238,2136437;0,761221562;SIRA
1476,383;526,1933264;356,528288;431,3789276;0,731936098;BOMBAY
604,923;228,2848809;147,9001309;183,4752853;0,769649511;DERMASON
1022,604;358,4412686;226,3641303;284,3694603;0,696747299;BARBUNYA
656,404;224,9125542;180,4394219;201,3358572;0,785245659;SEKER
690,353;238,1924989;181,6542972;207,9434735;0,770405154;SEKER
892,189;371,1772479;167,7097784;247,8019305;0,650586807;HOROZ
848,659;327,0140386;198,5628183;254,1359398;0,808753189;SIRA
687,552;257,4015727;167,8300362;207,3486911;0,707903564;DERMASON
602,499;222,5865143;155,7506438;186,0149399;0,792464935;DERMASON
847,013;322,898317;200,0923417;253,09673;0,77611687;SIRA
640,822;233,4161316;157,9871675;191,6484833;0,764766702;DERMASON
725,104;250,1788379;194,2573049;220,2334834;0,774331246;SEKER
735,327;255,3608197;202,755831;227,3509018;0,780392157;SEKER
689,021;255,9794432;151,811739;196,8884232;0,678386809;DERMASON
964,919;376,8503384;202,2688788;273,7965023;0,713816348;CALI
671,582;232,4361441;186,7914403;208,2249414;0,743986367;SEKER
771,941;262,1943201;217,9452746;238,8541763;0,775332226;SEKER
807,242;302,7978818;197,7989432;244,3872349;0,811332503;SIRA
690,751;251,5688914;175,4644572;209,8603246;0,741956242;DERMASON
1018,798;374,7807347;220,6077122;287,1187343;0,799037394;BARBUNYA
935,271;382,9921816;173,3579023;252,7393019;0,761520947;HOROZ
747,163;268,8365871;200,0457671;231,8263168;0,770536692;SEKER
661,776;260,1477983;149,9551614;197,2986381;0,65961165;DERMASON
566,451;208,3896394;143,7053079;172,5830023;0,715119834;DERMASON
1059,749;414,6293764;232,1867915;308,9513699;0,633284901;CALI
737,773;262,5202419;191,1768577;223,7607469;0,775391896;DERMASON
935,056;378,8140396;179,7800154;260,5456574;0,599595142;HOROZ
611,795;230,6267247;147,7785834;184,4201039;0,747418786;DERMASON
807,981;310,6508661;192,2887576;244,0613972;0,774578628;SIRA
625,847;223,6875615;167,0670972;193,2199005;0,758164189;DERMASON
1066,064;369,206449;248,4148551;301,6151393;0,708777255;BARBUNYA
840,011;322,0355267;198,2142341;252,4494646;0,794962201;SIRA
706,226;246,9038174;196,2197834;219,9529108;0,776177636;SEKER
714,916;260,5214189;186,5263957;220,1583135;0,789039506;DERMASON
990,278;366,7312389;234,1429528;292,5833002;0,752436909;BARBUNYA
746,921;279,8154344;179,4510188;223,7436757;0,791711973;DERMASON
1671,7;610,8914983;421,5739849;506,504007;0,796800791;BOMBAY
789,079;307,9055312;178,8933955;233,9312626;0,671017298;SIRA
642,761;235,0512883;161,9281807;194,474439;0,733758214;DERMASON
662,898;221,2164258;195,0635178;207,6462953;0,771600437;SEKER
968,674;399,078284;187,5970456;272,7505089;0,815919564;HOROZ
735,873;265,14156;192,3302998;225,622229;0,791765684;DERMASON
841,317;310,3341344;210,6136398;255,1983595;0,764231286;SIRA
1163,356;448,6801704;247,9671157;332,6020815;0,711452482;CALI
693,613;253,6640629;180,8837375;213,9610428;0,776582648;SEKER
640,443;235,8713896;164,0825132;196,5777713;0,792842215;DERMASON
1108,609;404,0895988;239,0063265;310,3268377;0,682309004;BARBUNYA
694,82;234,3666269;192,35218;212,1352834;0,762545847;SEKER
1076,812;410,953158;245,2735353;314,7449805;0,720389986;CALI
690,479;236,3201945;195,2178042;214,7184294;0,761338071;SEKER
669,571;221,610481;194,6713489;207,6003019;0,786271777;SEKER
770,797;295,0184998;176,403116;227,7845137;0,732088962;SIRA
724,99;257,1793952;194,0677002;223,1339489;0,791450777;DERMASON
753,08;278,5702406;184,181518;226,1942923;0,795880372;SIRA
1526,465;526,0285073;408,3425662;462,9284691;0,798115587;BOMBAY
939,045;388,4942698;177,244331;261,2654689;0,651251215;HOROZ
973,464;400,6249981;190,8467858;276,1902503;0,758684007;HOROZ
747,872;280,0538784;184,7775286;227,3088955;0,773634544;DERMASON
1164,715;414,6113966;243,3587512;316,7330374;0,807897381;BARBUNYA
876,448;362,6321293;170,9250073;248,3767349;0,609758246;HOROZ
966,607;387,9572417;184,7648578;266,3142173;0,671071971;HOROZ
788,221;300,0234133;185,5991067;235,669222;0,799886309;SIRA
748,997;263,423134;199,9741738;229,2804273;0,792871683;SEKER
1026,847;356,449425;225,8237984;282,683192;0,711575964;BARBUNYA
799,009;302,9249172;189,8983747;239,1232208;0,69884224;SIRA
1036,905;399,9959289;239,3258913;308,6276889;0,795766408;CALI
711,642;241,6425026;206,4591779;223,1852985;0,791686903;SEKER
639,517;237,8867478;161,562476;195,928998;0,797935689;DERMASON
998,511;333,03266;247,2226217;286,3794315;0,75831744;BARBUNYA
1179,304;418,3337201;263,9303155;331,3786622;0,799551303;BARBUNYA
1577,223;597,5389312;360,2287358;460,0909842;0,696476897;BOMBAY
1016,553;396,8650159;224,8122633;295,1957223;0,767660453;CALI
720,488;263,1013581;186,158153;220,9002163;0,806842105;DERMASON
637,061;240,712885;153,1319163;191,55545;0,741458269;DERMASON
806,549;292,2988516;195,1526431;238,2617433;0,707714286;SIRA
635,407;237,0339181;159,3031469;193,7233481;0,765028032;DERMASON
714,493;234,9970849;209,0326346;221,5534494;0,801663548;SEKER
816,687;335,8384996;163,6708304;233,1953279;0,806229353;HOROZ
750,674;280,9798518;187,2193105;229,1693364;0,816711217;SIRA
770,196;292,6198886;183,3620757;231,0864335;0,710094135;DERMASON
802,157;298,8251195;196,7251398;241,8919661;0,765151515;SIRA
1011,921;386,9887045;233,2943097;298,8053712;0,788618983;CALI
626,228;229,0498289;162,2908031;192,6787966;0,78597229;DERMASON
716,158;244,1767609;201,1612732;221,455731;0,750896756;SEKER
813,7;312,5285507;190,7317125;243,1519654;0,834681478;SIRA
1037,299;369,3259433;238,3257423;296,4052548;0,714476532;BARBUNYA
1056,149;413,0548894;235,6125071;311,3426939;0,798891885;CALI
770,917;286,1000458;182,6409041;227,8264324;0,785653716;SIRA
561,892;207,3482325;139,5295371;169,9625217;0,746463118;DERMASON
879,912;365,8256902;173,5691939;251,6310842;0,789365079;HOROZ
784,808;280,3904973;210,8225172;242,9109718;0,776733038;SEKER
875,858;351,4417653;176,1853443;248,4792386;0,617543681;HOROZ
974,721;395,3853543;192,3672108;274,1171861;0,717245989;HOROZ
1073,559;415,6769817;237,3120596;313,3299883;0,796017178;CALI
793,513;294,4577798;194,1953814;238,7075394;0,768476544;SIRA
894,114;368,8657268;180,4884574;257,7278289;0,700631211;HOROZ
879,152;336,7654739;202,4573121;260,2229274;0,789525252;SIRA
750,13;265,1422695;206,3057277;233,4954332;0,802774653;SEKER
698,705;250,3033689;183,0458201;213,8330623;0,807737292;DERMASON
715,3;267,0264891;173,271399;214,2732321;0,683524149;DERMASON
1210,109;444,8966593;251,5492961;333,8095745;0,671443916;BARBUNYA
669,267;255,5792184;158,6885689;201,1745316;0,736196035;DERMASON
1019,184;376,3267496;238,2937823;299,2099018;0,708082415;BARBUNYA
710,441;262,1711384;176,1394356;214,6798822;0,777577281;SIRA
768,325;280,8904907;195,8479032;234,3092314;0,789031621;SIRA
873,529;313,9996922;203,9382858;252,250166;0,714796539;BARBUNYA
1011,122;418,2336882;180,1421057;273,7779004;0,585965262;HOROZ
960,988;402,7083316;179,6841418;267,7399104;0,84;HOROZ
795,35;261,9883659;201,0000217;229,3775876;0,739363035;SEKER
566,508;205,0815284;147,4884517;173,8582951;0,745228528;DERMASON
1024,358;397,36528;222,357838;295,1849391;0,707521323;CALI
707,917;263,2304507;170,859998;211,8019095;0,779284261;DERMASON
854,099;329,8455349;195,4738704;253,174693;0,67230235;SIRA
960,799;350,4905657;226,1835632;280,9754757;0,798714431;BARBUNYA
733,889;273,744548;177,2180557;220,1120423;0,712264151;SIRA
642,131;230,7847535;173,1093399;199,5349608;0,757950359;DERMASON
998,285;421,5092818;185,6437814;279,3211406;0,668743861;HOROZ
1070,102;418,6934168;237,6170993;314,2470141;0,754464981;CALI
824,999;310,0902276;198,9742535;247,3725243;0,768680827;SIRA
845,203;349,1877688;171,1671257;244,0457461;0,821412893;HOROZ
813,871;310,3989608;182,4400991;237,5687044;0,659627976;SIRA
736,752;270,4433264;188,5658677;225,322939;0,772816249;DERMASON
595,114;219,8883961;152,2208553;182,8670648;0,799951267;DERMASON
650,954;220,9594949;183,2920681;201,1175623;0,777674419;SEKER
895,616;340,8092135;208,4878424;265,8692156;0,676821983;SIRA
733,113;272,2276484;175,1793883;217,8736255;0,691406105;SIRA
932,991;391,3126563;176,8546005;262,3815203;0,715438764;HOROZ
1047,986;404,1658945;234,4628894;306,4956992;0,801956522;CALI
788,957;302,75902;180,9126715;233,113414;0,791278876;SIRA
818,326;315,1393044;167,6372112;229,1637804;0,699084746;HOROZ
1062,512;369,6487795;221,383102;284,7564932;0,809232763;BARBUNYA
1182,302;452,7056001;272,5128474;349,1672656;0,748826952;CALI
739,706;277,807734;185,2207396;226,5373989;0,734532466;SIRA
1246,469;407,9240222;303,8983052;351,5403678;0,759943627;BARBUNYA
727,337;270,6032145;182,7897977;221,7602403;0,78914678;DERMASON
633,807;241,4240607;149,182599;189,3324751;0,66799535;DERMASON
810,945;325,5185251;170,7169846;234,4884853;0,866194641;HOROZ
721,784;269,2781625;180,2845543;220,1496384;0,726431298;DERMASON
835,878;309,4564571;203,8432306;250,0575815;0,68950509;SIRA
1101,786;422,363429;257,7041876;327,7781251;0,777685615;CALI
739,915;276,842065;184,0541459;224,9157183;0,789096326;SIRA
641,145;247,1973725;151,9909255;193,6411748;0,79654874;DERMASON
661,508;225,3180561;188,668526;206,0458672;0,763352487;SEKER
1594,528;578,0660713;401,3581787;479,0776905;0,774716349;BOMBAY
648,385;222,5263095;189,7373793;205,4238989;0,769979556;SEKER
683,341;253,1303559;173,0970555;208,8080817;0,788614329;DERMASON
905,574;352,9530277;209,0918517;270,2721331;0,67492118;HOROZ
854,095;320,1436939;202,9152101;254,3512817;0,702216756;SIRA
759,102;278,0092853;188,7303824;228,4626488;0,79427265;SIRA
638,618;236,8907377;160,7829873;194,9093335;0,753269376;DERMASON
786,511;297,79698;187,6541711;235,6854294;0,741955782;SIRA
705,489;268,4366181;170,0617118;213,4576078;0,723826861;DERMASON
692,525;257,3349865;175,7158153;212,4980952;0,73977889;DERMASON
774,269;286,235335;194,5282379;235,4611279;0,81450029;SIRA
871,941;362,0082361;172,7835838;249,7085506;0,783881553;HOROZ
1073,977;376,0912027;243,9444327;302,5255885;0,781281249;BARBUNYA
655,414;219,1299474;194,5431002;206,4008768;0,786308517;SEKER
712,553;263,225672;177,7805501;215,9394634;0,714149214;DERMASON
1023,316;388,469527;234,1431002;300,9960682;0,777814215;CALI
1087,705;352,1132678;235,8523974;287,566274;0,771647182;BARBUNYA
598,326;221,0061134;154,1061701;184,3786751;0,724362453;DERMASON
600,063;225,86061;146,5242397;181,7356151;0,690132227;DERMASON
988,005;383,9724637;228,1752131;294,7511274;0,788103488;CALI
915,524;371,294459;187,5156135;263,130183;0,807528958;HOROZ
755,343;264,955245;210,2145479;235,8555399;0,7588363;SEKER
1169,542;416,68229;258,0397874;327,3349976;0,7574822;BARBUNYA
602,784;216,5306559;160,4275581;186,1894011;0,722239907;DERMASON
915,784;367,4007534;192,9217446;265,4738316;0,67978287;HOROZ
660,253;250,9099149;159,1836072;199,6242753;0,703136233;DERMASON
699,394;257,8609676;179,4804676;214,638362;0,782166018;DERMASON
718,457;258,5421323;192,1426476;222,7198676;0,772996032;SEKER
715,767;262,1318324;176,1157026;214,3920417;0,736404063;SIRA
713,214;244,5323482;201,7008856;221,9639705;0,773590564;SEKER
935,811;384,3437562;185,117194;266,3930916;0,605220866;HOROZ
714,231;239,7597897;212,0498822;225,3879131;0,780477308;SEKER
1105,279;420,0168841;255,4732011;326,0000484;0,698502891;CALI
785,821;284,2088037;193,6679195;234,3472664;0,799469899;SIRA
1240,715;421,4842303;272,1227493;337,9340191;0,774341708;BARBUNYA
614,045;235,3139019;147,2557686;185,871143;0,736356482;DERMASON
811,712;301,1527792;195,4840461;242,0945326;0,707912341;SIRA
752,604;283,1175686;187,7286654;230,2474211;0,761898662;DERMASON
859,859;326,9764932;206,0875532;259,1467148;0,775205761;SIRA
914,255;366,468076;183,9484185;259,1884736;0,633032586;HOROZ
1102,058;399,3088648;259,7565191;321,1621639;0,751846902;BARBUNYA
988,708;349,854532;227,0737283;280,6989183;0,680736145;BARBUNYA
1036,144;372,7244725;232,5676809;293,9335683;0,810201547;BARBUNYA
830,595;314,0555206;201,2631223;250,7643408;0,685259185;SIRA
860,561;328,2620203;198,4611043;254,2937081;0,762296435;SIRA
815,622;312,6353105;192,7472981;244,6944275;0,741290709;SIRA
643,215;237,9207698;164,0097467;197,4147645;0,728976637;DERMASON
732,64;259,0023968;187,6696203;220,2190296;0,713851978;SIRA
748,428;270,8328979;180,6069978;220,6435751;0,697609925;SIRA
878,032;342,1508562;198,7842347;258,4259287;0,675362132;HOROZ
687,46;238,6993457;194,4298757;215,3431157;0,790369133;SEKER
941,882;366,6895234;202,7909699;271,8972374;0,735011899;SIRA
663,989;250,5939394;162,6181497;201,5507571;0,753898866;DERMASON
748,18;258,7000462;213,1307068;234,6648894;0,796911851;SEKER
1462,012;534,5994627;346,3307358;428,3072266;0,6931207;BOMBAY
830,882;302,1716806;214,4716633;254,2511454;0,742428895;SEKER
730,117;271,4252656;178,9602154;220,1351791;0,719593125;SIRA
1476,91;543,4833657;362,8924628;442,7662656;0,815295494;BOMBAY
789,514;276,5854475;216,185838;244,3325245;0,762452232;SEKER
780,507;289,2802886;190,9457232;234,4097391;0,7552942;SIRA
767,416;291,2970747;188,366899;233,9992877;0,76857776;SIRA
711,179;244,5155219;203,6022535;222,9855392;0,79103873;SEKER
732,16;253,9617627;208,2460293;229,8849289;0,804021463;SEKER
1101,269;428,5121811;219,7080646;306,1694221;0,754504089;BARBUNYA
1884,557;715,0530398;446,0436176;562,4084465;0,807536277;BOMBAY
778,838;292,8089157;176,8917082;226,7059493;0,668898205;SIRA
1061,352;414,1424338;223,9893148;303,2066314;0,705733443;CALI
1050,03;416,1572514;218,2519252;298,2103553;0,783604277;CALI
694,797;246,690685;192,2165854;217,493438;0,776848444;SEKER
753,356;279,380961;180,6710899;224,4879088;0,713153153;DERMASON
1000,601;377,1407444;239,2072993;298,4600225;0,778133689;CALI
710,701;265,110185;178,2092278;217,2357026;0,706142356;DERMASON
838,842;306,2995139;200,8561609;247,0300081;0,795063203;SIRA
896,279;375,9801827;174,9073548;256,1072727;0,804293521;HOROZ
768,075;287,390257;184,3639318;229,6189225;0,783064181;SIRA
1078,688;429,2529263;230,1362423;312,9742236;0,747144744;CALI
779,537;292,5017334;184,2382059;231,8153322;0,758050901;SIRA
785,09;296,6979584;182,7057313;232,2214195;0,686205891;SIRA
725,852;267,876582;186,5576829;223,1624779;0,741708543;SIRA
899,916;362,6824556;180,3956178;254,9038259;0,774902818;HOROZ
949,061;356,9393556;219,2460922;279,4829147;0,73998842;BARBUNYA
1056,868;408,4822731;231,7964839;304,8294966;0,785009735;CALI
690,131;264,9295953;165,7880877;208,6616866;0,75156044;HOROZ
810,787;281,3781027;210,3387961;242,984343;0,738626951;SEKER
805,168;307,020917;188,3309453;240,0028271;0,709268782;SIRA
751,413;260,5172911;210,118087;233,7869841;0,778791727;SEKER
912,768;361,7302884;195,3273283;264,2937658;0,831718743;HOROZ
1028,089;367,5514925;243,5373954;298,1484396;0,765643849;BARBUNYA
1158,625;446,6269238;258,2008138;337,683373;0,734517629;CALI
738,127;267,2506913;197,7869605;229,6549622;0,754407372;SEKER
899,321;368,2354517;179,5944701;255,7714758;0,783088459;HOROZ
693,308;247,6217738;182,109893;212,1922949;0,734983581;DERMASON
694,499;245,397668;185,3486365;212,896175;0,753636075;SEKER
991,26;390,9495828;213,0718207;287,4134799;0,757861415;CALI
732,327;277,979959;172,0699297;218,3435556;0,68105424;DERMASON
682,961;254,4737841;171,6017364;208,8080817;0,764494452;DERMASON
761,815;284,7684688;187,9589884;230,7556088;0,760838321;SIRA
911,589;369,7305;189,8428757;264,2913571;0,691838176;HOROZ
1057,572;414,9734282;226,718808;303,8044348;0,787934783;CALI
1417,944;519,7799999;339,9302724;418,4415798;0,778239315;BOMBAY
839,181;347,1792098;162,2413926;236,4216911;0,745103364;HOROZ
715,273;254,4732576;193,2214516;221,6654851;0,790734366;SEKER
530,683;191,1765253;139,5864022;163,29171;0,742360865;DERMASON
808,226;307,1473156;191,4296433;241,7208363;0,77890556;SIRA
618,792;228,801308;155,4945646;188,4359425;0,758176331;DERMASON
770,714;281,0600854;191,3260234;231,5542927;0,800133004;SIRA
934,742;344,514406;208,1900925;267,3925329;0,770016592;BARBUNYA
700,229;246,8871858;188,8914566;215,8893392;0,780012785;SEKER
1000,63;385,2596558;225,6963263;292,9377504;0,786420228;CALI
736,982;279,8904167;176,3091297;221,6252736;0,718647541;DERMASON
581,851;213,8447872;148,503575;178,0480783;0,723694919;DERMASON
734,84;272,0439346;182,1495701;222,2591907;0,740391588;DERMASON
939,694;383,1179338;182,1098958;263,0358091;0,787501993;HOROZ
886,541;337,9526496;207,511305;264,4888033;0,706558642;SIRA
656,61;238,8516203;167,0256839;199,3562117;0,80647995;DERMASON
671,846;248,3245435;165,8386389;202,5149846;0,737532628;DERMASON
1058,192;388,2167355;236,420938;302,1065326;0,765391761;BARBUNYA
662,16;238,9193282;174,4626437;203,8559921;0,791824357;DERMASON
697,267;265,273145;167,9044084;210,665701;0,793606703;DERMASON
810,208;277,1151484;230,7938036;252,7418208;0,757820643;SEKER
1058,086;416,9434183;233,570213;310,0107535;0,760523929;CALI
883,94;345,2874781;198,121381;261,1436066;0,795440707;SIRA
677,007;254,0073338;164,3518726;203,9746274;0,703639104;DERMASON
614,036;232,2130002;148,7617192;185,6278045;0,789699446;DERMASON
875,728;333,7072318;207,8112766;262,8203161;0,761118438;SIRA
700;254,0111405;183,492198;215,6444479;0,754856978;DERMASON
931,865;386,653982;180,3778484;263,8381178;0,721190376;HOROZ
1040,914;411,2238949;221,4570884;300,5706438;0,801968896;CALI
820,673;318,0766447;187,7771218;243,7690768;0,740809524;SIRA
1068,934;422,1588211;235,3673085;314,1071988;0,811158798;CALI
931,443;346,2961144;223,4780809;277,5789816;0,769607407;CALI
738,964;243,8296133;194,384226;217,6046384;0,785659963;SEKER
1099,039;404,7830228;254,2283386;319,7994578;0,779224307;BARBUNYA
1002,344;374,9274984;226,5619618;291,0255908;0,741640931;BARBUNYA
1235,37;470,0347856;282,9014051;363,5430346;0,773335817;CALI
721,525;277,5310375;168,7667712;215,8686964;0,757413961;DERMASON
1023,514;401,7107937;214,1820639;292,7464441;0,774976109;BARBUNYA
858,101;318,8880924;209,7300289;257,9673197;0,697354201;SIRA
629,666;233,195044;156,4285063;190,7327981;0,753600253;DERMASON
688,989;250,4135016;178,2378358;211,0973965;0,759922703;DERMASON
834,515;317,6042383;199,8781784;251,588071;0,692497353;SIRA
868,813;332,0911112;191,9920823;251,6943256;0,734282763;BARBUNYA
612,003;227,4604476;153,2213987;186,3876095;0,738510258;DERMASON
996,279;382,5603879;232,859284;297,5692258;0,822784061;CALI
846,716;353,8563544;161,5875876;238,2831179;0,745893687;HOROZ
960,008;348,6860621;217,4451123;275,0168153;0,730996887;BARBUNYA
647,234;241,3205414;157,8163125;194,9811775;0,757170027;DERMASON
1570,87;586,9240816;368,221092;463,9134405;0,782437624;BOMBAY
688,197;248,6037386;181,9081818;212,4741267;0,76148444;DERMASON
923,619;385,5655477;179,8034164;262,9075031;0,621730267;HOROZ
985,501;342,4453022;226,7417755;278,0853772;0,789353296;BARBUNYA
661,651;246,483722;163,082581;200,2451822;0,70735816;DERMASON
823,478;336,2022065;165,314818;234,295646;0,600481901;HOROZ
914,234;382,9034002;175,4288082;258,3544787;0,732307993;HOROZ
1403,498;496,1268755;382,8269939;435,4593421;0,823961272;BOMBAY
1034,794;420,1858938;212,6011487;296,8752508;0,803960511;CALI
1515,306;587,4231566;342,8149349;447,3678325;0,802651198;BOMBAY
613,77;220,7632719;161,9728633;188,7465032;0,818559476;DERMASON
674,388;258,3032768;161,3710513;203,7904008;0,707303322;DERMASON
649,087;239,6682434;164,4775624;198,3766313;0,736325519;DERMASON
934,803;340,330062;222,213422;274,6485092;0,704455463;BARBUNYA
827,02;328,3212445;175,833589;239,8489298;0,684264728;SIRA
930,585;387,3554734;184,352063;265,7997665;0,748129272;HOROZ
839,583;308,4593486;190,8681759;242,278537;0,697669492;SIRA
657,103;249,883935;161,1579807;200,4040792;0,698564911;DERMASON
1502,815;558,6041208;368,7910253;453,5733374;0,801960492;BOMBAY
723,077;225,328776;204,6663388;214,4276718;0,792242552;SEKER
908,819;362,4071223;181,4522296;256,0302028;0,688629402;HOROZ
986,967;379,3360923;210,1829062;278,8923279;0,812461764;HOROZ
986,295;413,163532;191,164635;280,4220881;0,704744625;HOROZ
717,108;274,6438326;167,7868347;214,4425159;0,707760141;DERMASON
603,953;215,5059894;157,9782946;184,1264494;0,816904433;DERMASON
1060,242;425,2045833;218,7976875;304,0851011;0,779110434;CALI
649,872;237,8158697;162,3839301;196,2536528;0,731382979;DERMASON
679,386;240,1377494;181,9791529;208,5945546;0,80538273;DERMASON
805,052;302,1337201;197,3879764;243,9805222;0,772032961;SIRA
1037,103;405,0652845;236,4519477;308,0309791;0,78432425;CALI
667,512;253,6124887;159,1054119;200,4517237;0,792595941;DERMASON
1020,42;396,7091017;225,6305717;298,6988247;0,810938422;CALI
939,385;386,7406464;182,4424636;264,9841777;0,675684285;HOROZ
682,703;253,4988026;176,2111394;211,103428;0,802627958;DERMASON
694,399;257,6113301;170,6910637;209,4899058;0,720831503;DERMASON
711,193;275,6951437;165,2006455;213,0934422;0,802448024;DERMASON
704,416;252,0951069;190,5731441;218,966622;0,747459309;SEKER
843,596;325,9071828;191,221698;249,195584;0,678066956;SIRA
810,287;303,4046748;197,0698379;243,7612419;0,740761905;SIRA
1086,551;448,2857526;217,1653723;309,8464267;0,78433453;HOROZ
630,146;242,9226468;149,7852436;190,1745758;0,757143619;DERMASON
748,479;286,4139234;171,3384257;221,369473;0,679519774;SIRA
614,936;224,484583;158,120668;188,0131631;0,808379921;DERMASON
1004,224;377,6639772;237,5478886;299,2481974;0,710510365;CALI
640,661;239,1823428;159,5339073;195,0595225;0,704206433;DERMASON
792,111;277,0274819;217,0810363;245,0713826;0,762297996;SEKER
1062,106;363,6795049;259,5083294;306,771828;0,727060791;BARBUNYA
605,986;236,325713;138,9916616;180,9668321;0,677224855;DERMASON
842,796;316,1856205;207,0289919;255,1509576;0,812505959;SIRA
611,836;227,2272809;154,0738264;186,9843788;0,794445248;DERMASON
1008,009;368,3233216;238,7370585;294,6712019;0,727830607;CALI
1245,103;425,1416049;272,9535748;340,3835761;0,704125849;BARBUNYA
604,623;228,0825518;147,7138272;183,0758252;0,821469808;DERMASON
626,577;231,0964606;158,5905524;190,919621;0,705366382;DERMASON
603,535;215,1376235;160,0915006;185,1642365;0,749979112;DERMASON
754,738;264,7545345;202,1420334;230,8714514;0,784112832;SEKER
776,608;283,7794886;189,0303216;231,094698;0,763895971;SIRA
1058,905;415,3089974;233,4139571;310,4540015;0,773367661;CALI
662,569;246,8040912;164,5567495;201,1871893;0,710486322;DERMASON
911,589;369,7305;189,8428757;264,2913571;0,691838176;HOROZ
1034,657;404,743853;231,9269439;305,7574424;0,745030593;CALI
1073,309;421,4446574;234,3819018;313,2385446;0,778828856;CALI
763,498;264,0834418;199,994315;229,3775876;0,755392659;SEKER
788,431;295,9051731;190,4623285;235,6989347;0,701355066;SIRA
674,477;222,1229203;205,0983639;213,3919846;0,7745149;SEKER
1045,027;413,9886032;227,2404819;305,1780677;0,759448067;CALI
659,728;227,0674037;184,5596932;204,6227808;0,785669916;SEKER
732,474;257,8436224;202,8515947;228,3483722;0,802024989;SEKER
